Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
847851,10/26/1995,NA,A34,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,3,0,5,3,3,3,5,3,3,1,3,0,5,3,0,0,0
847853,12/9/1999,NA,A36,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,1,3,3,3,5,3,5,1,0,0,0,0,0,0
830351,10/30/1979,YWR,A37,M,ad,3,1,3,3,3,1,3,3,0,1,3,0,5,0,3,3,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
844487,3/10/1983,WRY,A38,M,ad,0,1,0,3,3,1,3,3,1,5,1,1,5,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837326,3/19/1989,NA,A39,M,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
816359,3/11/1982,NYR,A40,F,ad,5,3,3,5,3,3,3,5,3,3,3,3,0,0,3,3,3,3,5,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0
816162,10/26/1982,BWB,A41,M,ad,5,1,5,3,3,1,5,3,1,1,3,3,0,1,0,5,3,1,3,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0
847932,9/20/1998,NA,A42,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,5,3,3,1,5,3,3,1,3,5,3,1,5,3
845387,3/18/1991,NA,A43,M,fl,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,1,5,0,3,1,5,5,5,5,3,0,3,3,1,3
837384,7/10/1989,OGB,A44,M,ad,0,0,0,0,0,0,0,3,3,3,5,3,0,3,3,3,3,1,1,3,5,0,5,3,1,5,3,3,3,3,3,1,3,1
847857,9/16/1999,NA,A45,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847890,5/11/1997,NA,A46,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0
